Distance,Mean,SD
0.0,1.0833333333333333,0.2763853991962833
50.0,2.9166666666666665,1.3819269959814167
100.0,4.0,1.9578900207451218
150.0,5.166666666666667,2.3392781412696997
200.0,6.75,2.890357532670771
250.0,8.166666666666666,3.131382371342656
300.0,9.25,3.2945662334617993
350.0,10.333333333333334,3.858612300930075
400.0,8.083333333333334,3.882832585740581
450.0,7.583333333333333,5.122797629767894
500.0,7.083333333333333,5.1713688280334
550.0,6.166666666666667,6.053006599111625
600.0,3.25,3.514849451493857
650.0,0.6666666666666666,1.0274023338281628
700.0,0.16666666666666666,0.3726779962499649
750.0,0.0,0.0
